Q,H0+H1+H2+H9
Q489153,H1
Q489154,H1
Q489155,H1
Q489156,H0+H1
Q489157,H0
Q489158,H0
Q489159,H0
Q4914,H1
Q4915,H0+H1
Q490150,H1
Q490151,H1
Q490152,H1
Q490153,H1
Q490154,H1
Q490155,H1
Q490156,H0+H1
Q490157,H0
Q490158,H0
Q490159,H0
Q491150,H1
Q491151,H1
Q491152,H1
Q491153,H1
Q491154,H1
Q491155,H1
Q491156,H0+H1
Q491157,H0
Q491158,H0
Q491159,H0
Q492150,H1
Q492151,H1
Q492152,H1
Q492153,H1
Q492154,H1
Q492155,H1
Q492156,H0+H1
Q492157,H0+H1
Q492158,H0
Q492159,H0
Q493150,H1
Q493151,H1
Q493152,H1
Q493153,H1
Q493154,H1
Q493155,H1
Q493156,H1
Q493157,H0+H1
Q493158,H0+H1
Q493159,H0
Q494150,H1
Q494151,H1
Q494152,H1
Q494153,H1
Q494154,H1
Q494155,H1
Q494156,H1
Q494157,H1
Q494158,H0+H1
Q494159,H0+H1
Q495150,H1
Q495151,H1
Q495152,H1
Q495153,H1
Q495154,H1
Q495155,H1
Q495156,H1
Q495157,H1
Q495158,H1
Q495159,H1
Q496150,H1
Q496151,H1
Q496152,H1
Q496153,H1
Q496154,H1
Q496155,H1
Q496156,H1
Q496157,H1
Q496158,H1
Q496159,H1
Q497150,H1
Q497151,H1
Q497152,H1
Q497153,H1
Q497154,H1
Q497155,H1
Q497156,H1
Q497157,H1
Q497158,H1
Q497159,H1
Q498150,H1
Q498151,H1
Q498152,H1
Q498153,H1
Q498154,H1
Q498155,H1
Q498156,H1
Q498157,H1
Q498158,H1
Q498159,H1
Q499150,H1
Q499151,H1
Q499152,H1
Q499153,H1
Q499154,H1
Q499155,H1
Q499156,H1
Q499157,H1
Q499158,H1
Q499159,H1
Q41Y,H0+H1
Q4816,H0+H1
Q480160,H1
Q480161,H0+H1
Q480162,H0+H1
Q480163,H0
Q480164,H0
Q480165,H0
Q480166,H0
Q480167,H0
Q480168,H0
Q480169,H0
Q481160,H1
Q481161,H1
Q481162,H0+H1
Q481163,H0
Q481164,H0
Q481165,H0
Q481166,H0
Q481167,H0
Q481168,H0
Q481169,H0
Q482160,H1
Q482161,H0+H1
Q482162,H0+H1
Q482163,H0
Q482164,H0
Q482165,H0
Q482166,H0
Q482167,H0
Q482168,H0
Q482169,H0
Q483160,H1
Q483161,H0+H1
Q483162,H0
Q483163,H0
Q483164,H0
Q483165,H0
Q483166,H0
Q483167,H0
Q483168,H0
Q483169,H0
Q484160,H1
Q484161,H0+H1
Q484162,H0
Q484163,H0
Q484164,H0
Q484165,H0
Q484166,H0
Q484167,H0
Q484168,H0
Q484169,H0
Q485160,H0+H1
Q485161,H0+H1
Q485162,H0
Q485163,H0
Q485164,H0
Q485165,H0
Q485166,H0
Q485167,H0
Q485168,H0
Q485169,H0
Q486160,H0+H1
Q486161,H0
Q486162,H0
Q486163,H0
Q486164,H0
Q486165,H0
Q486166,H0
Q486167,H0
Q486168,H0
Q486169,H0
Q487160,H0
Q487161,H0
Q487162,H0
Q487163,H0
Q487164,H0
Q487165,H0
Q487166,H0
Q487167,H0
Q487168,H0
Q487169,H0
Q488160,H0
Q488161,H0
Q488162,H0
Q488163,H0
Q488164,H0
Q488165,H0
Q488166,H0
Q488167,H0
Q488168,H0
Q488169,H0
Q489160,H0
Q489161,H0
Q489162,H0
Q489163,H0
Q489164,H0
Q489165,H0
Q489166,H0
Q489167,H0
Q489168,H0
Q489169,H0
Q4817,H0
Q4916,H0+H1
Q490160,H0
Q490161,H0
Q490162,H0
Q490163,H0
Q490164,H0
Q490165,H0
Q490166,H0
Q490167,H0
Q490168,H0
Q490169,H0
Q491160,H0
Q491161,H0
Q491162,H0
Q491163,H0
Q491164,H0
Q491165,H0
Q491166,H0
Q491167,H0
Q491168,H0
Q491169,H0
Q492160,H0
Q492161,H0
Q492162,H0
Q492163,H0
Q492164,H0
Q492165,H0
Q492166,H0
Q492167,H0
Q492168,H0
Q492169,H0
Q493160,H0
Q493161,H0+H1
Q493162,H0+H1
Q493163,H0
Q493164,H0
Q493165,H0
Q493166,H0
Q493167,H0
Q493168,H0
Q493169,H0
Q494160,H0+H1
Q494161,H0+H1
Q494162,H0+H1
Q494163,H0+H1
Q494164,H0+H1
Q494165,H0+H1
Q494166,H0+H1
Q494167,H0+H1
Q494168,H0
Q494169,H0
Q495160,H1
Q495161,H1
Q495162,H1
Q495163,H1
Q495164,H1
Q495165,H1
Q495166,H1
Q495167,H0+H1
Q495168,H0+H1
Q495169,H0
Q496160,H1
Q496161,H1
Q496162,H1
Q496163,H1
Q496164,H1
Q496165,H1
Q496166,H1
Q496167,H1
Q496168,H0+H1
Q496169,H0+H1
Q497160,H1
Q497161,H1
Q497162,H1
Q497163,H1
Q497164,H1
Q497165,H1
Q497166,H1
Q497167,H1
Q497168,H1
Q497169,H0+H1
Q498160,H1
Q498161,H1
Q498162,H1
Q498163,H1
Q498164,H1
Q498165,H1
Q498166,H1
Q498167,H1
Q498168,H1
Q498169,H0+H1
Q499160,H1
Q499161,H1
Q499162,H1
Q499163,H1
Q499164,H1
Q499165,H1
Q499166,H1
Q499167,H1
Q499168,H1
Q499169,H0+H1
Q4917,H0+H1
Q490170,H0
Q490171,H0
Q490172,H0
Q490173,H0
Q490174,H0
Q490175,H0
Q490176,H0
Q490177,H0
Q490178,H0
Q490179,H0
Q491170,H0
Q491171,H0
Q491172,H0
Q491173,H0
Q491174,H0
Q491175,H0
Q491176,H0
Q491177,H0
Q491178,H0
Q491179,H0
Q492170,H0
Q492171,H0
Q492172,H0
Q492173,H0
Q492174,H0
Q492175,H0
Q492176,H0
Q492177,H0
Q492178,H0
Q492179,H0
Q493170,H0
Q493171,H0
Q493172,H0
Q493173,H0
Q493174,H0
Q493175,H0
Q493176,H0
Q493177,H0
Q493178,H0
Q493179,H0
Q494170,H0
Q494171,H0
Q494172,H0
Q494173,H0
Q494174,H0
Q494175,H0
Q494176,H0
Q494177,H0
Q494178,H0
Q494179,H0
Q495170,H0
Q495171,H0
Q495172,H0
Q495173,H0
Q495174,H0
Q495175,H0
Q495176,H0
Q495177,H0
Q495178,H0
Q495179,H0
Q496170,H0
Q496171,H0
Q496172,H0
Q496173,H0
Q496174,H0
Q496175,H0
Q496176,H0
Q496177,H0
Q496178,H0
Q496179,H0
Q497170,H0
Q497171,H0
Q497172,H0
Q497173,H0
Q497174,H0
Q497175,H0
Q497176,H0
Q497177,H0
Q497178,H0
Q497179,H0
Q498170,H0
Q498171,H0
Q498172,H0
Q498173,H0
Q498174,H0
Q498175,H0
Q498176,H0
Q498177,H0
Q498178,H0
Q498179,H0
Q499170,H0+H1
Q499171,H0
Q499172,H0
Q499173,H0
Q499174,H0
Q499175,H0
Q499176,H0
Q499177,H0
Q499178,H0
Q499179,H0
Q41Z,H0
Q42,H0
Q43,H0
Q44,H0
Q45,H0
Q46,H0
Q47,H0
Q48,H0
Q49,H0
Q50,H0+H1
Q50SW,H1
Q50NW,H1
Q50SE,H0+H1
Q50NE,H1
Q50A,H1
Q50B,H1
Q50C,H1
Q50D,H1
Q50E,H1
Q50F,H1
Q50G,H1
Q50H,H1
Q50I,H1
Q50J,H1
Q50K,H1
Q50L,H1
Q50M,H1
Q50N,H1
Q50P,H1
Q50Q,H1
Q50R,H1
Q50S,H1
Q50T,H1
Q50U,H1
Q50V,H0+H1
Q5800,H1
Q5801,H1
Q5900,H0+H1
Q590000,H1
Q590001,H1
Q590002,H1
Q590003,H1
Q590004,H1
Q590005,H1
Q590006,H1
Q590007,H1
Q590008,H1
Q590009,H1
Q591000,H1
Q591001,H1
Q591002,H1
Q591003,H1
Q591004,H1
Q591005,H1
Q591006,H1
Q591007,H1
Q591008,H1
Q591009,H1
Q592000,H1
Q592001,H1
Q592002,H1
Q592003,H1
Q592004,H1
Q592005,H1
Q592006,H1
Q592007,H1
Q592008,H1
Q592009,H1
Q593000,H1
Q593001,H1
Q593002,H1
Q593003,H1
Q593004,H1
Q593005,H1
Q593006,H1
Q593007,H1
Q593008,H1
Q593009,H1
Q594000,H1
Q594001,H1
Q594002,H1
Q594003,H1
Q594004,H1
Q594005,H1
Q594006,H1
Q594007,H1
Q594008,H1
Q594009,H1
Q595000,H0+H1
Q595001,H0+H1
Q595002,H1
Q595003,H1
Q595004,H1
Q595005,H1
Q595006,H1
Q595007,H1
Q595008,H1
Q595009,H1
Q596000,H0
Q596001,H0+H1
Q596002,H0+H1
Q596003,H1
Q596004,H1
Q596005,H1
Q596006,H1
Q596007,H1
Q596008,H1
Q596009,H1
Q597000,H0
Q597001,H0+H1
Q597002,H1
Q597003,H1
Q597004,H1
Q597005,H1
Q597006,H1
Q597007,H1
Q597008,H1
Q597009,H1
Q598000,H0
Q598001,H0+H1
Q598002,H1
Q598003,H1
Q598004,H1
Q598005,H1
Q598006,H1
Q598007,H1
Q598008,H1
Q598009,H1
Q599000,H0+H1
Q599001,H0+H1
Q599002,H1
Q599003,H1
Q599004,H1
Q599005,H1
Q599006,H1
Q599007,H1
Q599008,H1
Q599009,H1
Q5901,H1
Q50W,H1
Q50X,H1
Q50Y,H1
Q50Z,H1
Q51,H0+H1
Q51SW,H0+H1
Q51NW,H0+H1
Q51SE,H0+H1
Q51NE,H0+H1
Q51A,H0+H1
Q5010,H0+H1
Q500100,H1
Q500101,H1
Q500102,H1
Q500103,H1
Q500104,H1
Q500105,H1
Q500106,H1
Q500107,H1
Q500108,H1
Q500109,H1
Q501100,H1
Q501101,H1
Q501102,H1
Q501103,H1
Q501104,H1
Q501105,H1
Q501106,H1
Q501107,H1
Q501108,H1
Q501109,H1
Q502100,H1
Q502101,H1
Q502102,H1
Q502103,H1
Q502104,H1
Q502105,H1
Q502106,H1
Q502107,H1
Q502108,H1
Q502109,H1
Q503100,H1
Q503101,H1
Q503102,H1
Q503103,H1
Q503104,H1
Q503105,H1
Q503106,H1
Q503107,H1
Q503108,H1
Q503109,H1
Q504100,H1
Q504101,H1
Q504102,H1
Q504103,H1
Q504104,H1
Q504105,H1
Q504106,H1
Q504107,H1
Q504108,H1
Q504109,H1
Q505100,H1
Q505101,H1
Q505102,H1
Q505103,H1
Q505104,H1
Q505105,H1
Q505106,H1
Q505107,H1
Q505108,H1
Q505109,H1
Q506100,H1
Q506101,H1
Q506102,H1
Q506103,H1
Q506104,H1
Q506105,H1
Q506106,H1
Q506107,H1
Q506108,H1
Q506109,H1
Q507100,H1
Q507101,H1
Q507102,H1
Q507103,H1
Q507104,H1
Q507105,H1
Q507106,H1
Q507107,H1
Q507108,H1
Q507109,H1
Q508100,H1
Q508101,H1
Q508102,H1
Q508103,H1
Q508104,H1
Q508105,H1
Q508106,H1
Q508107,H1
Q508108,H1
Q508109,H1
Q509100,H1
Q509101,H1
Q509102,H1
Q509103,H1
Q509104,H1
Q509105,H1
Q509106,H1
Q509107,H1
Q509108,H1
Q509109,H0+H1
Q5011,H0+H1
Q500110,H1
Q500111,H1
Q500112,H1
Q500113,H1
Q500114,H1
Q500115,H1
Q500116,H1
Q500117,H1
Q500118,H1
Q500119,H1
Q501110,H1
Q501111,H1
Q501112,H1
Q501113,H1
Q501114,H1
Q501115,H1
Q501116,H1
Q501117,H1
Q501118,H1
Q501119,H1
Q502110,H1
Q502111,H1
Q502112,H1
Q502113,H1
Q502114,H1
Q502115,H1
Q502116,H1
Q502117,H1
Q502118,H1
Q502119,H1
Q503110,H1
Q503111,H1
Q503112,H1
Q503113,H1
Q503114,H1
Q503115,H1
Q503116,H1
Q503117,H1
Q503118,H1
Q503119,H1
Q504110,H1
Q504111,H1
Q504112,H1
Q504113,H1
Q504114,H1
Q504115,H1
Q504116,H1
Q504117,H1
Q504118,H1
Q504119,H1
Q505110,H1
Q505111,H1
Q505112,H1
Q505113,H1
Q505114,H1
Q505115,H1
Q505116,H1
Q505117,H1
Q505118,H1
Q505119,H1
Q506110,H1
Q506111,H1
Q506112,H1
Q506113,H1
Q506114,H1
Q506115,H1
Q506116,H1
Q506117,H1
Q506118,H1
Q506119,H1
Q507110,H1
Q507111,H1
Q507112,H1
Q507113,H1
Q507114,H1
Q507115,H1
Q507116,H1
Q507117,H1
Q507118,H1
Q507119,H1
Q508110,H1
Q508111,H1
Q508112,H1
Q508113,H1
Q508114,H1
Q508115,H1
Q508116,H1
Q508117,H1
Q508118,H1
Q508119,H1
Q509110,H0+H1
Q509111,H0+H1
Q509112,H1
Q509113,H1
Q509114,H1
Q509115,H1
Q509116,H1
Q509117,H1
Q509118,H1
Q509119,H1
Q5110,H0+H1
Q510100,H1
Q510101,H1
Q510102,H1
Q510103,H1
Q510104,H1
Q510105,H1
Q510106,H1
Q510107,H1
Q510108,H1
Q510109,H0+H1
Q511100,H1
Q511101,H1
Q511102,H1
Q511103,H1
Q511104,H1
Q511105,H1
Q511106,H1
Q511107,H1
Q511108,H1
Q511109,H0+H1
Q512100,H1
Q512101,H1
Q512102,H1
Q512103,H1
Q512104,H1
Q512105,H1
Q512106,H1
Q512107,H1
Q512108,H0+H1
Q512109,H0+H1
Q513100,H1
Q513101,H1
Q513102,H1
Q513103,H1
Q513104,H1
Q513105,H1
Q513106,H1
Q513107,H1
Q513108,H1
Q513109,H0+H1
Q514100,H1
Q514101,H1
Q514102,H1
Q514103,H1
Q514104,H1
Q514105,H1
Q514106,H1
Q514107,H1
Q514108,H1
Q514109,H1
Q515100,H1
Q515101,H1
Q515102,H1
Q515103,H1
Q515104,H1
Q515105,H1
Q515106,H1
Q515107,H1
Q515108,H1
Q515109,H1
Q516100,H1
Q516101,H1
Q516102,H1
Q516103,H1
Q516104,H1
Q516105,H1
Q516106,H1
Q516107,H1
Q516108,H1
Q516109,H1
Q517100,H1
Q517101,H1
Q517102,H1
Q517103,H1
Q517104,H1
Q517105,H1
Q517106,H1
Q517107,H1
Q517108,H1
Q517109,H1
Q518100,H1
Q518101,H1
Q518102,H1
Q518103,H1
Q518104,H1
Q518105,H1
Q518106,H1
Q518107,H1
Q518108,H1
Q518109,H1
Q519100,H1
Q519101,H1
Q519102,H1
Q519103,H1
Q519104,H1
Q519105,H1
Q519106,H1
Q519107,H1
Q519108,H1
Q519109,H1
Q5111,H0+H1
Q510110,H0
Q510111,H0+H1
Q510112,H0+H1
Q510113,H0+H1
Q510114,H0+H1
Q510115,H1
Q510116,H1
Q510117,H1
Q510118,H1
Q510119,H1
Q511110,H0
Q511111,H0
Q511112,H0
Q511113,H0
Q511114,H0+H1
Q511115,H0+H1
Q511116,H0+H1
Q511117,H1
Q511118,H1
Q511119,H1
Q512110,H0
Q512111,H0
Q512112,H0
Q512113,H0
Q512114,H0
Q512115,H0
Q512116,H0+H1
Q512117,H0+H1
Q512118,H0+H1
Q512119,H1
Q513110,H0+H1
Q513111,H0+H1
Q513112,H0
Q513113,H0
Q513114,H0
Q513115,H0
Q513116,H0
Q513117,H0
Q513118,H0+H1
Q513119,H0+H1
Q514110,H1
Q514111,H0+H1
Q514112,H0+H1
Q514113,H0+H1
Q514114,H0
Q514115,H0
Q514116,H0
Q514117,H0
Q514118,H0
Q514119,H0+H1
Q515110,H1
Q515111,H1
Q515112,H1
Q515113,H0+H1
Q515114,H0+H1
Q515115,H0
Q515116,H0
Q515117,H0
Q515118,H0
Q515119,H0
Q516110,H1
Q516111,H1
Q516112,H1
Q516113,H1
Q516114,H0+H1
Q516115,H0+H1
Q516116,H0
Q516117,H0
Q516118,H0
Q516119,H0
Q517110,H1
Q517111,H1
Q517112,H1
Q517113,H1
Q517114,H1
Q517115,H0+H1
Q517116,H0
Q517117,H0
Q517118,H0
Q517119,H0
Q518110,H1
Q518111,H1
Q518112,H1
Q518113,H1
Q518114,H1
Q518115,H0+H1
Q518116,H0
Q518117,H0
Q518118,H0
Q518119,H0
Q519110,H1
Q519111,H1
Q519112,H1
Q519113,H1
Q519114,H1
Q519115,H0+H1
Q519116,H0
Q519117,H0
Q519118,H0
Q519119,H0
Q51B,H0+H1
Q5012,H1
Q5013,H1
Q5112,H0+H1
Q510120,H1
Q510121,H1
Q510122,H1
Q510123,H1
Q510124,H1
Q510125,H1
Q510126,H1
Q510127,H1
Q510128,H1
Q510129,H1
Q511120,H1
Q511121,H1
Q511122,H1
Q511123,H1
Q511124,H1
Q511125,H1
Q511126,H1
Q511127,H1
Q511128,H1
Q511129,H1
Q512120,H1
Q512121,H1
Q512122,H1
Q512123,H1
Q512124,H1
Q512125,H1
Q512126,H1
Q512127,H1
Q512128,H1
Q512129,H1
Q513120,H1
Q513121,H1
Q513122,H1
Q513123,H1
Q513124,H1
Q513125,H1
Q513126,H1
Q513127,H1
Q513128,H1
Q513129,H1
Q514120,H0+H1
Q514121,H1
Q514122,H1
Q514123,H1
Q514124,H1
Q514125,H1
Q514126,H1
Q514127,H1
Q514128,H1
Q514129,H1
Q515120,H0+H1
Q515121,H1
Q515122,H1
Q515123,H1
Q515124,H1
Q515125,H1
Q515126,H1
Q515127,H1
Q515128,H1
Q515129,H1
Q516120,H0+H1
Q516121,H0+H1
Q516122,H1
Q516123,H1
Q516124,H1
Q516125,H1
Q516126,H1
Q516127,H1
Q516128,H1
Q516129,H1
Q517120,H0
Q517121,H0+H1
Q517122,H0+H1
Q517123,H1
Q517124,H1
Q517125,H1
Q517126,H1
Q517127,H1
Q517128,H1
Q517129,H1
Q518120,H0
Q518121,H0
Q518122,H0+H1
Q518123,H1
Q518124,H1
Q518125,H1
Q518126,H1
Q518127,H1
Q518128,H1
Q518129,H1
Q519120,H0
Q519121,H0
Q519122,H0+H1
Q519123,H0+H1
Q519124,H1
Q519125,H1
Q519126,H1
Q519127,H1
Q519128,H1
Q519129,H1
Q5113,H1
Q51C,H1
Q51D,H0+H1
Q5016,H1
Q5017,H0+H1
Q500170,H0+H1
Q500171,H0
Q500172,H0
Q500173,H0
Q500174,H0
Q500175,H0
Q500176,H0
Q500177,H0
Q500178,H0
Q500179,H0
Q501170,H0+H1
Q501171,H0+H1
Q501172,H0
Q501173,H0
Q501174,H0
Q501175,H0
Q501176,H0
Q501177,H0
Q501178,H0
Q501179,H0
Q502170,H1
Q502171,H0+H1
Q502172,H0
Q502173,H0
Q502174,H0
Q502175,H0
Q502176,H0
Q502177,H0
Q502178,H0
Q502179,H0
Q503170,H1
Q503171,H0+H1
Q503172,H0
Q503173,H0
Q503174,H0
Q503175,H0
Q503176,H0
Q503177,H0
Q503178,H0
Q503179,H0
Q504170,H1
Q504171,H0+H1
Q504172,H0
Q504173,H0
Q504174,H0
Q504175,H0
Q504176,H0
Q504177,H0
Q504178,H0
Q504179,H0
Q505170,H1
Q505171,H0+H1
Q505172,H0
Q505173,H0
Q505174,H0
Q505175,H0
Q505176,H0
Q505177,H0
Q505178,H0
Q505179,H0
Q506170,H1
Q506171,H0+H1
Q506172,H0+H1
Q506173,H0
Q506174,H0
Q506175,H0
Q506176,H0
Q506177,H0
Q506178,H0
Q506179,H0
Q507170,H1
Q507171,H1
Q507172,H0+H1
Q507173,H0+H1
Q507174,H0
Q507175,H0
Q507176,H0
Q507177,H0
Q507178,H0
Q507179,H0
Q508170,H1
Q508171,H1
Q508172,H1
Q508173,H0+H1
Q508174,H0
Q508175,H0
Q508176,H0
Q508177,H0
Q508178,H0
Q508179,H0
Q509170,H1
Q509171,H1
Q509172,H1
Q509173,H0+H1
Q509174,H0
Q509175,H0
Q509176,H0
Q509177,H0
Q509178,H0
Q509179,H0
Q5116,H1
Q5117,H0+H1
Q510170,H1
Q510171,H1
Q510172,H1
Q510173,H0+H1
Q510174,H0+H1
Q510175,H0
Q510176,H0
Q510177,H0
Q510178,H0
Q510179,H0
Q511170,H1
Q511171,H1
Q511172,H1
Q511173,H1
Q511174,H0+H1
Q511175,H0
Q511176,H0
Q511177,H0
Q511178,H0
Q511179,H0
Q512170,H1
Q512171,H1
Q512172,H1
Q512173,H1
Q512174,H0+H1
Q512175,H0+H1
Q512176,H0
Q512177,H0
Q512178,H0
Q512179,H0
Q513170,H1
Q513171,H1
Q513172,H1
Q513173,H1
Q513174,H1
Q513175,H0+H1
Q513176,H0
Q513177,H0
Q513178,H0
Q513179,H0
Q514170,H1
Q514171,H1
Q514172,H1
Q514173,H1
Q514174,H1
Q514175,H0+H1
Q514176,H0+H1
Q514177,H0
Q514178,H0
Q514179,H0
Q515170,H1
Q515171,H1
Q515172,H1
Q515173,H1
Q515174,H1
Q515175,H1
Q515176,H0+H1
Q515177,H0+H1
Q515178,H0
Q515179,H0
Q516170,H1
Q516171,H1
Q516172,H1
Q516173,H1
Q516174,H1
Q516175,H1
Q516176,H0+H1
Q516177,H0+H1
Q516178,H0
Q516179,H0
Q517170,H1
Q517171,H1
Q517172,H1
Q517173,H1
Q517174,H1
Q517175,H1
Q517176,H0+H1
Q517177,H0
Q517178,H0
Q517179,H0
Q518170,H1
Q518171,H1
Q518172,H1
Q518173,H1
Q518174,H1
Q518175,H0+H1
Q518176,H0+H1
Q518177,H0
Q518178,H0
Q518179,H0
Q519170,H1
Q519171,H1
Q519172,H1
Q519173,H1
Q519174,H0+H1
Q519175,H0+H1
Q519176,H0
Q519177,H0
Q519178,H0
Q519179,H0
Q51E,H0
Q51F,H0+H1
Q5210,H1
Q5211,H0+H1
Q520110,H1
Q520111,H1
Q520112,H1
Q520113,H1
Q520114,H1
Q520115,H0+H1
Q520116,H0
Q520117,H0
Q520118,H0
Q520119,H0
Q521110,H1
Q521111,H1
Q521112,H1
Q521113,H1
Q521114,H1
Q521115,H0+H1
Q521116,H0+H1
Q521117,H0
Q521118,H0
Q521119,H0
Q522110,H1
Q522111,H1
Q522112,H1
Q522113,H1
Q522114,H1
Q522115,H1
Q522116,H0+H1
Q522117,H0
Q522118,H0
Q522119,H0
Q523110,H1
Q523111,H1
Q523112,H1
Q523113,H1
Q523114,H1
Q523115,H1
Q523116,H0+H1
Q523117,H0
Q523118,H0
Q523119,H0
Q524110,H1
Q524111,H1
Q524112,H1
Q524113,H1
Q524114,H1
Q524115,H1
Q524116,H0+H1
Q524117,H0
Q524118,H0
Q524119,H0
Q525110,H1
Q525111,H1
Q525112,H1
Q525113,H1
Q525114,H1
Q525115,H1
Q525116,H0+H1
Q525117,H0
Q525118,H0
Q525119,H0
Q526110,H1
Q526111,H1
Q526112,H1
Q526113,H1
Q526114,H1
Q526115,H1
Q526116,H0+H1
Q526117,H0+H1
Q526118,H0
Q526119,H0
Q527110,H1
Q527111,H1
Q527112,H1
Q527113,H1
Q527114,H1
Q527115,H1
Q527116,H1
Q527117,H0+H1
Q527118,H0+H1
Q527119,H0+H1
Q528110,H1
Q528111,H1
Q528112,H1
Q528113,H1
Q528114,H1
Q528115,H1
Q528116,H1
Q528117,H1
Q528118,H1
Q528119,H0+H1
Q529110,H1
Q529111,H1
Q529112,H1
Q529113,H1
Q529114,H1
Q529115,H1
Q529116,H1
Q529117,H1
Q529118,H1
Q529119,H1
Q5310,H1
Q5311,H0+H1
Q530110,H1
Q530111,H1
Q530112,H1
Q530113,H1
Q530114,H1
Q530115,H1
Q530116,H1
Q530117,H1
Q530118,H1
Q530119,H1
Q531110,H1
Q531111,H1
Q531112,H1
Q531113,H1
Q531114,H1
Q531115,H1
Q531116,H1
Q531117,H1
Q531118,H1
Q531119,H1
Q532110,H1
Q532111,H1
Q532112,H1
Q532113,H1
Q532114,H1
Q532115,H1
Q532116,H1
Q532117,H1
Q532118,H0+H1
Q532119,H0+H1
Q533110,H1
Q533111,H1
Q533112,H1
Q533113,H1
Q533114,H1
Q533115,H1
Q533116,H1
Q533117,H0+H1
Q533118,H0+H1
Q533119,H0
Q534110,H1
Q534111,H1
Q534112,H1
Q534113,H1
Q534114,H1
Q534115,H1
Q534116,H1
Q534117,H0+H1
Q534118,H0
Q534119,H0
Q535110,H1
Q535111,H1
Q535112,H1
Q535113,H1
Q535114,H1
Q535115,H1
Q535116,H1
Q535117,H0+H1
Q535118,H0
Q535119,H0
Q536110,H1
Q536111,H1
Q536112,H1
Q536113,H1
Q536114,H1
Q536115,H1
Q536116,H0+H1
Q536117,H0+H1
Q536118,H0
Q536119,H0
Q537110,H1
Q537111,H1
Q537112,H1
Q537113,H1
Q537114,H1
Q537115,H0+H1
Q537116,H0+H1
Q537117,H0
Q537118,H0
Q537119,H0
Q538110,H1
Q538111,H1
Q538112,H1
Q538113,H1
Q538114,H0+H1
Q538115,H0+H1
Q538116,H0
Q538117,H0
Q538118,H0
Q538119,H0
Q539110,H1
Q539111,H1
Q539112,H1
Q539113,H1
Q539114,H0+H1
Q539115,H0+H1
Q539116,H0+H1
Q539117,H0
Q539118,H0
Q539119,H0
Q51G,H0+H1
Q5212,H0+H1
Q520120,H0
Q520121,H0
Q520122,H0
Q520123,H0+H1
Q520124,H0+H1
Q520125,H1
Q520126,H1
Q520127,H1
Q520128,H1
Q520129,H1
Q521120,H0
Q521121,H0
Q521122,H0
Q521123,H0
Q521124,H0+H1
Q521125,H1
Q521126,H1
Q521127,H1
Q521128,H1
Q521129,H1
Q522120,H0
Q522121,H0
Q522122,H0
Q522123,H0
Q522124,H0+H1
Q522125,H0+H1
Q522126,H1
Q522127,H1
Q522128,H1
Q522129,H1
Q523120,H0
Q523121,H0
Q523122,H0
Q523123,H0
Q523124,H0
Q523125,H0+H1
Q523126,H0+H1
Q523127,H1
Q523128,H1
Q523129,H1
Q524120,H0
Q524121,H0
Q524122,H0
Q524123,H0
Q524124,H0
Q524125,H0
Q524126,H0+H1
Q524127,H0+H1
Q524128,H1
Q524129,H0+H1
Q525120,H0
Q525121,H0
Q525122,H0
Q525123,H0
Q525124,H0
Q525125,H0
Q525126,H0
Q525127,H0+H1
Q525128,H0+H1
Q525129,H0+H1
Q526120,H0
Q526121,H0
Q526122,H0
Q526123,H0
Q526124,H0
Q526125,H0
Q526126,H0
Q526127,H0
Q526128,H0
Q526129,H0+H1
Q527120,H0
Q527121,H0
Q527122,H0
Q527123,H0
Q527124,H0
Q527125,H0
Q527126,H0
Q527127,H0
Q527128,H0
Q527129,H0
Q528120,H0+H1
Q528121,H0+H1
Q528122,H0
Q528123,H0
Q528124,H0
Q528125,H0
Q528126,H0
Q528127,H0
Q528128,H0
Q528129,H0
Q529120,H1
Q529121,H0+H1
Q529122,H0+H1
Q529123,H0+H1
Q529124,H0
Q529125,H0
Q529126,H0
Q529127,H0
Q529128,H0
Q529129,H0
Q5213,H0+H1
Q520130,H1
Q520131,H1
Q520132,H1
Q520133,H1
Q520134,H1
Q520135,H1
Q520136,H1
Q520137,H1
Q520138,H1
Q520139,H1
Q521130,H1
Q521131,H1
Q521132,H1
Q521133,H1
Q521134,H1
Q521135,H1
Q521136,H1
Q521137,H1
Q521138,H1
Q521139,H1
Q522130,H1
Q522131,H1
Q522132,H1
Q522133,H1
Q522134,H1
Q522135,H1
Q522136,H1
Q522137,H1
Q522138,H1
Q522139,H1
Q523130,H1
Q523131,H1
Q523132,H1
Q523133,H1
Q523134,H1
Q523135,H1
Q523136,H1
Q523137,H1
Q523138,H1
Q523139,H1
Q524130,H0+H1
Q524131,H1
Q524132,H1
Q524133,H1
Q524134,H1
Q524135,H1
Q524136,H1
Q524137,H1
Q524138,H1
Q524139,H1
Q525130,H0+H1
Q525131,H0+H1
Q525132,H0+H1
Q525133,H0+H1
Q525134,H1
Q525135,H1
Q525136,H1
Q525137,H1
Q525138,H1
Q525139,H1
Q526130,H0
Q526131,H0
Q526132,H0
Q526133,H0+H1
Q526134,H0+H1
Q526135,H1
Q526136,H1
Q526137,H1
Q526138,H1
Q526139,H1
Q527130,H0
Q527131,H0
Q527132,H0
Q527133,H0
Q527134,H0+H1
Q527135,H0+H1
Q527136,H1
Q527137,H1
Q527138,H1
Q527139,H1
Q528130,H0
Q528131,H0
Q528132,H0
Q528133,H0
