G,H0+H25+H26+H27+H28+H29+H30+H33+H34+H35
G555441,H0
G555442,H0
G555443,H0
G555444,H0
G555445,H0
G555446,H0
G555447,H0
G555448,H0
G555449,H0
G556440,H0
G556441,H0
G556442,H0
G556443,H0
G556444,H0
G556445,H0
G556446,H0
G556447,H0
G556448,H0
G556449,H0
G557440,H0
G557441,H0
G557442,H0
G557443,H0
G557444,H0
G557445,H0
G557446,H0
G557447,H0
G557448,H0
G557449,H0
G558440,H0
G558441,H0
G558442,H0
G558443,H0
G558444,H0
G558445,H0
G558446,H0+H28
G558447,H0+H28
G558448,H0
G558449,H0
G559440,H0+H28
G559441,H0
G559442,H0
G559443,H0
G559444,H0
G559445,H0
G559446,H0+H28
G559447,H0+H28
G559448,H0
G559449,H0
G5545,H0+H28
G550450,H0
G550451,H0
G550452,H0
G550453,H0
G550454,H0
G550455,H0
G550456,H0
G550457,H0
G550458,H0
G550459,H0
G551450,H0
G551451,H0
G551452,H0
G551453,H0
G551454,H0
G551455,H0
G551456,H0
G551457,H0
G551458,H0
G551459,H0
G552450,H0
G552451,H0
G552452,H0
G552453,H0
G552454,H0
G552455,H0
G552456,H0
G552457,H0
G552458,H0
G552459,H0
G553450,H0
G553451,H0
G553452,H0
G553453,H0
G553454,H0
G553455,H0
G553456,H0
G553457,H0
G553458,H0
G553459,H0
G554450,H0
G554451,H0
G554452,H0
G554453,H0
G554454,H0
G554455,H0
G554456,H0
G554457,H0
G554458,H0
G554459,H0
G555450,H0
G555451,H0
G555452,H0
G555453,H0
G555454,H0
G555455,H0
G555456,H0
G555457,H0
G555458,H0
G555459,H0
G556450,H0
G556451,H0
G556452,H0
G556453,H0
G556454,H0
G556455,H0
G556456,H0
G556457,H0
G556458,H0
G556459,H0
G557450,H0
G557451,H0
G557452,H0
G557453,H0+H28
G557454,H0+H28
G557455,H0+H28
G557456,H0
G557457,H0
G557458,H0
G557459,H0
G558450,H0
G558451,H0
G558452,H0
G558453,H0+H28
G558454,H0+H28
G558455,H0+H28
G558456,H0+H28
G558457,H0
G558458,H0+H28
G558459,H0+H28
G559450,H0
G559451,H0
G559452,H0
G559453,H0
G559454,H0+H28
G559455,H28
G559456,H0+H28
G559457,H0
G559458,H0+H28
G559459,H0+H28
G54N,H0+H28
G5446,H0
G5447,H0
G5546,H0+H28
G550460,H0
G550461,H0
G550462,H0
G550463,H0
G550464,H0
G550465,H0
G550466,H0
G550467,H0
G550468,H0
G550469,H0
G551460,H0
G551461,H0
G551462,H0
G551463,H0
G551464,H0
G551465,H0
G551466,H0
G551467,H0
G551468,H0
G551469,H0
G552460,H0
G552461,H0
G552462,H0
G552463,H0
G552464,H0
G552465,H0
G552466,H0
G552467,H0
G552468,H0
G552469,H0
G553460,H0
G553461,H0
G553462,H0
G553463,H0
G553464,H0
G553465,H0
G553466,H0
G553467,H0
G553468,H0
G553469,H0
G554460,H0
G554461,H0
G554462,H0
G554463,H0
G554464,H0
G554465,H0
G554466,H0
G554467,H0
G554468,H0
G554469,H0
G555460,H0
G555461,H0
G555462,H0
G555463,H0
G555464,H0
G555465,H0
G555466,H0
G555467,H0
G555468,H0
G555469,H0
G556460,H0
G556461,H0
G556462,H0
G556463,H0
G556464,H0
G556465,H0
G556466,H0
G556467,H0
G556468,H0
G556469,H0
G557460,H0
G557461,H0
G557462,H0
G557463,H0
G557464,H0
G557465,H0
G557466,H0
G557467,H0
G557468,H0
G557469,H0
G558460,H0
G558461,H0
G558462,H0
G558463,H0
G558464,H0
G558465,H0
G558466,H0
G558467,H0
G558468,H0
G558469,H0
G559460,H0+H28
G559461,H0
G559462,H0
G559463,H0
G559464,H0
G559465,H0
G559466,H0
G559467,H0
G559468,H0
G559469,H0
G5547,H0
G54P,H0
G54Q,H0+H28
G5640,H0
G5641,H0
G5740,H0
G5741,H0+H28
G570410,H0
G570411,H0
G570412,H0
G570413,H0
G570414,H0
G570415,H0
G570416,H0
G570417,H0
G570418,H0
G570419,H0
G571410,H0
G571411,H0
G571412,H0
G571413,H0
G571414,H0
G571415,H0
G571416,H0
G571417,H0
G571418,H0
G571419,H0
G572410,H0
G572411,H0
G572412,H0
G572413,H0
G572414,H0
G572415,H0
G572416,H0
G572417,H0
G572418,H0
G572419,H0+H28
G573410,H0
G573411,H0
G573412,H0
G573413,H0
G573414,H0
G573415,H0
G573416,H0
G573417,H0
G573418,H0+H28
G573419,H0+H28
G574410,H0
G574411,H0
G574412,H0
G574413,H0
G574414,H0
G574415,H0
G574416,H0
G574417,H0
G574418,H0+H28
G574419,H28
G575410,H0
G575411,H0
G575412,H0
G575413,H0
G575414,H0
G575415,H0
G575416,H0
G575417,H0
G575418,H0+H28
G575419,H28
G576410,H0
G576411,H0
G576412,H0
G576413,H0
G576414,H0
G576415,H0
G576416,H0
G576417,H0+H28
G576418,H0+H28
G576419,H28
G577410,H0
G577411,H0
G577412,H0
G577413,H0
G577414,H0
G577415,H0
G577416,H0
G577417,H0+H28
G577418,H28
G577419,H28
G578410,H0
G578411,H0
G578412,H0
G578413,H0
G578414,H0
G578415,H0
G578416,H0
G578417,H0+H28
G578418,H28
G578419,H28
G579410,H0
G579411,H0
G579412,H0
G579413,H0
G579414,H0
G579415,H0
G579416,H0
G579417,H0+H28
G579418,H28
G579419,H28
G54R,H0+H28
G5642,H0
G5643,H0+H28
G560430,H0
G560431,H0
G560432,H0
G560433,H0
G560434,H0
G560435,H0
G560436,H0
G560437,H0
G560438,H0+H28
G560439,H0+H28
G561430,H0
G561431,H0
G561432,H0
G561433,H0
G561434,H0
G561435,H0
G561436,H0
G561437,H0
G561438,H0
G561439,H0+H28
G562430,H0
G562431,H0
G562432,H0
G562433,H0
G562434,H0
G562435,H0
G562436,H0
G562437,H0
G562438,H0
G562439,H0
G563430,H0
G563431,H0
G563432,H0
G563433,H0
G563434,H0
G563435,H0
G563436,H0
G563437,H0
G563438,H0
G563439,H0
G564430,H0
G564431,H0
G564432,H0
G564433,H0
G564434,H0
G564435,H0
G564436,H0
G564437,H0
G564438,H0
G564439,H0
G565430,H0
G565431,H0
G565432,H0
G565433,H0
G565434,H0
G565435,H0
G565436,H0
G565437,H0
G565438,H0
G565439,H0
G566430,H0
G566431,H0
G566432,H0
G566433,H0
G566434,H0
G566435,H0
G566436,H0
G566437,H0
G566438,H0
G566439,H0
G567430,H0
G567431,H0
G567432,H0
G567433,H0
G567434,H0
G567435,H0
G567436,H0
G567437,H0
G567438,H0
G567439,H0
G568430,H0
G568431,H0
G568432,H0
G568433,H0
G568434,H0
G568435,H0
G568436,H0
G568437,H0
G568438,H0
G568439,H0
G569430,H0
G569431,H0
G569432,H0
G569433,H0
G569434,H0
G569435,H0
G569436,H0
G569437,H0
G569438,H0
G569439,H0
G5742,H0+H28
G570420,H0
G570421,H0
G570422,H0
G570423,H0
G570424,H0
G570425,H0
G570426,H0
G570427,H0
G570428,H0
G570429,H0
G571420,H0
G571421,H0
G571422,H0
G571423,H0
G571424,H0
G571425,H0
G571426,H0
G571427,H0
G571428,H0
G571429,H0
G572420,H0+H28
G572421,H0+H28
G572422,H0+H28
G572423,H0+H28
G572424,H0+H28
G572425,H0
G572426,H0
G572427,H0
G572428,H0
G572429,H0
G573420,H28
G573421,H28
G573422,H28
G573423,H28
G573424,H0+H28
G573425,H0+H28
G573426,H0
G573427,H0
G573428,H0
G573429,H0
G574420,H28
G574421,H28
G574422,H28
G574423,H28
G574424,H28
G574425,H0+H28
G574426,H0
G574427,H0
G574428,H0
G574429,H0
G575420,H28
G575421,H28
G575422,H28
G575423,H28
G575424,H28
G575425,H0+H28
G575426,H0
G575427,H0
G575428,H0
G575429,H0
G576420,H28
G576421,H28
G576422,H28
G576423,H28
G576424,H28
G576425,H0+H28
G576426,H0
G576427,H0
G576428,H0+H28
G576429,H0+H28
G577420,H28
G577421,H28
G577422,H28
G577423,H28
G577424,H0+H28
G577425,H0+H28
G577426,H0
G577427,H0
G577428,H0+H28
G577429,H0+H28
G578420,H28
G578421,H28
G578422,H28
G578423,H28
G578424,H28
G578425,H0+H28
G578426,H0+H28
G578427,H0+H28
G578428,H0+H28
G578429,H28
G579420,H28
G579421,H28
G579422,H28
G579423,H28
G579424,H28
G579425,H0+H28
G579426,H0+H28
G579427,H0+H28
G579428,H28
G579429,H28
G5743,H0+H28
G570430,H0
G570431,H0
G570432,H0
G570433,H0
G570434,H0
G570435,H0
G570436,H0
G570437,H0
G570438,H0
G570439,H0
G571430,H0
G571431,H0
G571432,H0
G571433,H0
G571434,H0
G571435,H0
G571436,H0
G571437,H0
G571438,H0
G571439,H0
G572430,H0
G572431,H0
G572432,H0
G572433,H0
G572434,H0
G572435,H0
G572436,H0
G572437,H0
G572438,H0
G572439,H0
G573430,H0
G573431,H0
G573432,H0
G573433,H0
G573434,H0
G573435,H0
G573436,H0
G573437,H0
G573438,H0
G573439,H0+H28
G574430,H0
G574431,H0
G574432,H0
G574433,H0
G574434,H0
G574435,H0
G574436,H0
G574437,H0
G574438,H0+H28
G574439,H0+H28
G575430,H0
G575431,H0
G575432,H0
G575433,H0
G575434,H0
G575435,H0
G575436,H0+H28
G575437,H0+H28
G575438,H0+H28
G575439,H28
G576430,H0
G576431,H0
G576432,H0
G576433,H0
G576434,H0+H28
G576435,H0+H28
G576436,H0+H28
G576437,H28
G576438,H28
G576439,H28
G577430,H0+H28
G577431,H0
G577432,H0+H28
G577433,H0+H28
G577434,H0+H28
G577435,H28
G577436,H28
G577437,H28
G577438,H28
G577439,H28
G578430,H0+H28
G578431,H0+H28
G578432,H0+H28
G578433,H28
G578434,H28
G578435,H28
G578436,H28
G578437,H28
G578438,H28
G578439,H28
G579430,H28
G579431,H28
G579432,H28
G579433,H28
G579434,H28
G579435,H28
G579436,H28
G579437,H28
G579438,H28
G579439,H28
G54S,H0+H28
G5644,H0+H28
G560440,H0+H28
G560441,H0+H28
G560442,H0
G560443,H0
G560444,H0
G560445,H0+H28
G560446,H0+H28
G560447,H0+H28
G560448,H0
G560449,H0
G561440,H0+H28
G561441,H0
G561442,H0
G561443,H0
G561444,H0+H28
G561445,H0+H28
G561446,H0+H28
G561447,H0+H28
G561448,H0
G561449,H0
G562440,H0
G562441,H0
G562442,H0
G562443,H0
G562444,H0+H28
G562445,H28
G562446,H28
G562447,H0+H28
G562448,H0
G562449,H0
G563440,H0
G563441,H0
G563442,H0
G563443,H0
G563444,H0+H28
G563445,H28
G563446,H28
G563447,H0+H28
G563448,H0+H28
G563449,H0
G564440,H0
G564441,H0
G564442,H0
G564443,H0
G564444,H0+H28
G564445,H28
G564446,H28
G564447,H28
G564448,H0+H28
G564449,H0+H28
G565440,H0
G565441,H0
G565442,H0
G565443,H0
G565444,H0+H28
G565445,H28
G565446,H28
G565447,H28
G565448,H28
G565449,H0+H28
G566440,H0
G566441,H0
G566442,H0
G566443,H0+H28
G566444,H0+H28
G566445,H28
G566446,H28
G566447,H28
G566448,H28
G566449,H28
G567440,H0
G567441,H0
G567442,H0
G567443,H0+H28
G567444,H28
G567445,H28
G567446,H28
G567447,H28
G567448,H28
G567449,H28
G568440,H0
G568441,H0
G568442,H0+H28
G568443,H0+H28
G568444,H28
G568445,H28
G568446,H28
G568447,H28
G568448,H28
G568449,H28
G569440,H0
G569441,H0
G569442,H0+H28
G569443,H28
G569444,H28
G569445,H28
G569446,H28
G569447,H28
G569448,H28
G569449,H28
G5645,H0+H28
G560450,H0
G560451,H0
G560452,H0
G560453,H0+H28
G560454,H0+H28
G560455,H28
G560456,H0+H28
G560457,H0+H28
G560458,H0+H28
G560459,H0+H28
G561450,H0
G561451,H0
G561452,H0
G561453,H0+H28
G561454,H0+H28
G561455,H0+H28
G561456,H0+H28
G561457,H0+H28
G561458,H0
G561459,H0+H28
G562450,H0
G562451,H0
G562452,H0
G562453,H0
G562454,H0+H28
G562455,H0+H28
G562456,H0+H28
G562457,H0+H28
G562458,H0
G562459,H0
G563450,H0
G563451,H0
G563452,H0
G563453,H0+H28
G563454,H0+H28
G563455,H0+H28
G563456,H0+H28
G563457,H0+H28
G563458,H0+H28
G563459,H0+H28
G564450,H0
G564451,H0+H28
G564452,H0+H28
G564453,H0+H28
G564454,H28
G564455,H28
G564456,H28
G564457,H28
G564458,H28
G564459,H28
G565450,H0+H28
G565451,H0+H28
G565452,H28
G565453,H28
G565454,H28
G565455,H28
G565456,H28
G565457,H28
G565458,H28
G565459,H28
G566450,H28
G566451,H28
G566452,H28
G566453,H28
G566454,H28
G566455,H28
G566456,H28
G566457,H28
G566458,H28
G566459,H28
G567450,H28
G567451,H28
G567452,H28
G567453,H28
G567454,H28
G567455,H28
G567456,H28
G567457,H28
G567458,H28
G567459,H28
G568450,H28
G568451,H28
G568452,H28
G568453,H28
G568454,H28
G568455,H28
G568456,H28
G568457,H28
G568458,H28
G568459,H28
G569450,H28
G569451,H28
G569452,H28
G569453,H28
G569454,H28
G569455,H28
G569456,H28
G569457,H28
G569458,H28
G569459,H28
G5744,H0+H28
G570440,H0
G570441,H0+H28
G570442,H0+H28
G570443,H28
G570444,H28
G570445,H28
G570446,H28
G570447,H28
G570448,H28
G570449,H28
G571440,H0+H28
G571441,H0+H28
G571442,H28
G571443,H28
G571444,H28
G571445,H28
G571446,H28
G571447,H28
G571448,H28
G571449,H28
G572440,H0+H28
G572441,H28
G572442,H28
G572443,H28
G572444,H28
G572445,H28
G572446,H28
G572447,H28
G572448,H28
G572449,H28
G573440,H0+H28
G573441,H28
G573442,H28
G573443,H28
G573444,H28
G573445,H28
G573446,H28
G573447,H28
G573448,H28
G573449,H28
G574440,H28
G574441,H28
G574442,H28
G574443,H28
G574444,H28
G574445,H28
G574446,H28
G574447,H28
G574448,H28
G574449,H28
G575440,H28
G575441,H28
G575442,H28
G575443,H28
G575444,H28
G575445,H28
G575446,H28
G575447,H28
G575448,H28
G575449,H28
G576440,H28
G576441,H28
G576442,H28
G576443,H28
G576444,H28
G576445,H28
G576446,H28
G576447,H28
G576448,H28
G576449,H28
G577440,H28
G577441,H28
G577442,H28
G577443,H28
G577444,H28
G577445,H28
G577446,H28
G577447,H28
G577448,H28
G577449,H28
G578440,H28
G578441,H28
G578442,H28
G578443,H28
G578444,H28
G578445,H28
G578446,H28
G578447,H28
G578448,H28
G578449,H28
G579440,H28
G579441,H28
G579442,H28
G579443,H28
G579444,H28
G579445,H28
G579446,H28
G579447,H28
G579448,H28
G579449,H28
G5745,H28
G54T,H0+H28
G5646,H0+H28
G560460,H0+H28
G560461,H0
G560462,H0
G560463,H0
G560464,H0
G560465,H0
G560466,H0
G560467,H0
G560468,H0
G560469,H0
G561460,H0+H28
G561461,H0+H28
G561462,H0+H28
G561463,H0
G561464,H0
G561465,H0
G561466,H0
G561467,H0
G561468,H0
G561469,H0
G562460,H0+H28
G562461,H28
G562462,H0+H28
G562463,H0+H28
G562464,H0
G562465,H0
G562466,H0
G562467,H0
G562468,H0
G562469,H0
G563460,H0+H28
G563461,H28
G563462,H28
G563463,H0+H28
G563464,H0
G563465,H0
G563466,H0
G563467,H0
G563468,H0
G563469,H0
G564460,H28
G564461,H28
G564462,H28
G564463,H0+H28
G564464,H0
G564465,H0
G564466,H0
G564467,H0
G564468,H0
G564469,H0
G565460,H28
G565461,H0+H28
G565462,H0+H28
G565463,H0+H28
G565464,H0
G565465,H0
G565466,H0
G565467,H0
G565468,H0
G565469,H0
G566460,H28
G566461,H0+H28
G566462,H0
G566463,H0
G566464,H0
G566465,H0
G566466,H0
G566467,H0
G566468,H0
G566469,H0
G567460,H28
G567461,H0+H28
G567462,H0
G567463,H0
G567464,H0
G567465,H0
G567466,H0
G567467,H0
G567468,H0
G567469,H0
G568460,H28
G568461,H0+H28
G568462,H0
G568463,H0
G568464,H0
G568465,H0
G568466,H0
G568467,H0
G568468,H0
G568469,H0
G569460,H28
G569461,H0+H28
G569462,H0+H28
G569463,H0
G569464,H0
G569465,H0
G569466,H0
G569467,H0
G569468,H0
G569469,H0
G5647,H0
G5746,H0+H28
G570460,H28
G570461,H28
G570462,H0+H28
G570463,H0+H28
G570464,H0+H28
G570465,H0
G570466,H0
G570467,H0
G570468,H0
G570469,H0
G571460,H28
G571461,H28
G571462,H28
G571463,H28
G571464,H0+H28
G571465,H0+H28
G571466,H0
G571467,H0
G571468,H0
G571469,H0
G572460,H28
G572461,H28
G572462,H28
G572463,H28
G572464,H28
G572465,H0+H28
G572466,H0
G572467,H0
G572468,H0
G572469,H0
G573460,H28
G573461,H28
G573462,H28
G573463,H28
G573464,H28
G573465,H0+H28
G573466,H0+H28
G573467,H0
G573468,H0
G573469,H0
G574460,H28
G574461,H28
G574462,H28
G574463,H28
G574464,H28
G574465,H28
G574466,H0+H28
G574467,H0+H28
G574468,H0
G574469,H0
G575460,H28
G575461,H28
G575462,H28
G575463,H28
G575464,H28
G575465,H28
G575466,H0+H28
G575467,H0+H28
G575468,H0
G575469,H0
G576460,H28
G576461,H28
G576462,H28
G576463,H28
G576464,H28
G576465,H28
G576466,H0+H28
G576467,H0+H28
G576468,H0+H28
G576469,H0
G577460,H28
G577461,H28
G577462,H28
G577463,H28
G577464,H28
G577465,H28
G577466,H28
G577467,H28
G577468,H0+H28
G577469,H0
G578460,H28
G578461,H28
G578462,H28
G578463,H28
G578464,H28
G578465,H28
G578466,H28
G578467,H28
G578468,H0+H28
G578469,H0
G579460,H28
G579461,H28
G579462,H28
G579463,H28
G579464,H28
G579465,H28
G579466,H28
G579467,H28
G579468,H0+H28
G579469,H0+H28
G5747,H0
G54U,H0
G54V,H0+H28
G5840,H0
G5841,H0+H28
G580410,H0
G580411,H0
G580412,H0
G580413,H0
G580414,H0
G580415,H0
G580416,H0+H28
G580417,H0+H28
G580418,H28
G580419,H28
G581410,H0
G581411,H0
G581412,H0
G581413,H0
G581414,H0
G581415,H0+H28
G581416,H0+H28
G581417,H0+H28
G581418,H0+H28
G581419,H0+H28
G582410,H0
G582411,H0
G582412,H0
G582413,H0
G582414,H0
G582415,H0+H28
G582416,H0+H28
G582417,H0+H28
G582418,H0+H28
G582419,H0+H28
G583410,H0
G583411,H0
G583412,H0
G583413,H0
G583414,H0
G583415,H0
G583416,H0
G583417,H0
G583418,H0
G583419,H0
G584410,H0
G584411,H0
G584412,H0
G584413,H0
G584414,H0
G584415,H0
G584416,H0
G584417,H0
G584418,H0
G584419,H0
G585410,H0
G585411,H0
G585412,H0
G585413,H0
G585414,H0
G585415,H0
G585416,H0
G585417,H0
G585418,H0
G585419,H0
G586410,H0
G586411,H0
G586412,H0
G586413,H0
G586414,H0
G586415,H0
G586416,H0
G586417,H0
G586418,H0
G586419,H0
G587410,H0
G587411,H0
G587412,H0
G587413,H0
G587414,H0
G587415,H0
G587416,H0
G587417,H0
G587418,H0
G587419,H0
G588410,H0
G588411,H0
G588412,H0
G588413,H0
G588414,H0
G588415,H0
G588416,H0
G588417,H0
G588418,H0
G588419,H0
G589410,H0
G589411,H0
G589412,H0
G589413,H0
G589414,H0
G589415,H0
G589416,H0
G589417,H0
G589418,H0
G589419,H0
G5940,H0+H28
G590400,H0
G590401,H0
G590402,H0
G590403,H0
G590404,H0
G590405,H0
G590406,H0
G590407,H0
G590408,H0
G590409,H0
G591400,H0
G591401,H0
G591402,H0
G591403,H0
G591404,H0
G591405,H0
G591406,H0
G591407,H0
G591408,H0
G591409,H0
G592400,H0
G592401,H0
G592402,H0
G592403,H0
G592404,H0
G592405,H0
G592406,H0
G592407,H0
G592408,H0
G592409,H0
G593400,H0
G593401,H0
G593402,H0
G593403,H0
G593404,H0
G593405,H0
G593406,H0
G593407,H0
G593408,H0
G593409,H0
G594400,H0
G594401,H0
G594402,H0
G594403,H0
G594404,H0
G594405,H0
G594406,H0
G594407,H0
G594408,H0
G594409,H0
G595400,H0
G595401,H0
G595402,H0
G595403,H0
G595404,H0
G595405,H0
G595406,H0
G595407,H0
G595408,H0
G595409,H0
G596400,H0+H28
G596401,H0
G596402,H0
G596403,H0
G596404,H0
G596405,H0
G596406,H0
G596407,H0
G596408,H0
G596409,H0
G597400,H0+H28
G597401,H0
G597402,H0
G597403,H0
G597404,H0
G597405,H0
G597406,H0
G597407,H0
G597408,H0
G597409,H0
G598400,H0+H28
G598401,H0
G598402,H0
G598403,H0
G598404,H0
G598405,H0
G598406,H0
G598407,H0
G598408,H0
G598409,H0
G599400,H0+H28
G599401,H0
G599402,H0
G599403,H0
G599404,H0
G599405,H0
G599406,H0
G599407,H0
G599408,H0
G599409,H0
G5941,H0
G54W,H0+H28
G5842,H0+H28
G580420,H28
G580421,H28
G580422,H28
G580423,H0+H28
G580424,H0+H28
G580425,H0+H28
G580426,H0
G580427,H0+H28
G580428,H0+H28
G580429,H28
G581420,H0+H28
G581421,H28
G581422,H0+H28
G581423,H0+H28
G581424,H0
G581425,H0
G581426,H0
G581427,H0
G581428,H0+H28
G581429,H0+H28
G582420,H0+H28
G582421,H0+H28
G582422,H0+H28
G582423,H0
G582424,H0
G582425,H0
G582426,H0
G582427,H0
G582428,H0
G582429,H0+H28
G583420,H0
G583421,H0
G583422,H0
G583423,H0
G583424,H0
G583425,H0
G583426,H0
G583427,H0
G583428,H0
G583429,H0
G584420,H0
G584421,H0
G584422,H0
G584423,H0
G584424,H0
G584425,H0
G584426,H0
G584427,H0
G584428,H0
G584429,H0
G585420,H0
G585421,H0
G585422,H0
G585423,H0
G585424,H0
G585425,H0
G585426,H0
G585427,H0
G585428,H0
G585429,H0
G586420,H0
G586421,H0
G586422,H0
G586423,H0
G586424,H0
G586425,H0
G586426,H0
G586427,H0
G586428,H0
G586429,H0
G587420,H0
G587421,H0
G587422,H0
G587423,H0
G587424,H0
G587425,H0
G587426,H0
G587427,H0
G587428,H0
G587429,H0
G588420,H0
G588421,H0
G588422,H0
G588423,H0
G588424,H0
G588425,H0
G588426,H0
G588427,H0
G588428,H0
G588429,H0
G589420,H0
G589421,H0
G589422,H0
G589423,H0
G589424,H0
G589425,H0
G589426,H0
G589427,H0
G589428,H0
G589429,H0
G5843,H0+H28
G580430,H28
G580431,H28
G580432,H28
G580433,H28
G580434,H28
G580435,H28
G580436,H28
G580437,H28
G580438,H28
G580439,H28
G581430,H28
G581431,H28
G581432,H28
G581433,H28
G581434,H28
G581435,H28
G581436,H28
G581437,H28
G581438,H28
G581439,H28
G582430,H0+H28
G582431,H28
G582432,H28
G582433,H28
G582434,H28
G582435,H28
G582436,H28
G582437,H28
G582438,H28
G582439,H28
G583430,H0+H28
G583431,H28
G583432,H28
G583433,H28
G583434,H28
G583435,H28
G583436,H28
G583437,H28
G583438,H28
G583439,H28
G584430,H0+H28
G584431,H28
G584432,H28
G584433,H28
G584434,H28
G584435,H28
G584436,H28
G584437,H28
G584438,H28
G584439,H28
G585430,H0+H28
G585431,H0+H28
G585432,H28
G585433,H28
G585434,H28
G585435,H28
G585436,H28
G585437,H28
G585438,H28
G585439,H28
G586430,H0
G586431,H0+H28
G586432,H28
G586433,H28
G586434,H28
G586435,H28
G586436,H28
G586437,H28
G586438,H28
G586439,H28
G587430,H0
G587431,H0+H28
G587432,H28
G587433,H28
G587434,H28
G587435,H28
G587436,H28
G587437,H28
G587438,H28
G587439,H28
G588430,H0
G588431,H0+H28
G588432,H28
G588433,H28
G588434,H28
G588435,H28
G588436,H28
G588437,H28
G588438,H28
G588439,H28
G589430,H0
G589431,H0+H28
G589432,H28
G589433,H28
G589434,H28
G589435,H28
G589436,H28
G589437,H28
G589438,H28
G589439,H28
G5942,H0
G5943,H0+H28
G590430,H0
G590431,H0+H28
G590432,H28
G590433,H28
G590434,H28
G590435,H28
G590436,H28
G590437,H28
G590438,H28
G590439,H28
G591430,H0
G591431,H0+H28
G591432,H28
G591433,H28
G591434,H28
G591435,H28
G591436,H28
G591437,H28
G591438,H28
G591439,H28
G592430,H0
G592431,H0+H28
G592432,H28
G592433,H28
G592434,H28
G592435,H28
G592436,H28
G592437,H28
G592438,H28
G592439,H28
G593430,H0
G593431,H0+H28
G593432,H28
G593433,H28
G593434,H28
G593435,H28
G593436,H28
G593437,H28
G593438,H28
G593439,H28
G594430,H0
G594431,H0+H28
G594432,H28
G594433,H28
G594434,H28
G594435,H28
G594436,H28
G594437,H28
G594438,H28
G594439,H28
G595430,H0+H28
G595431,H0+H28
G595432,H28
G595433,H28
G595434,H28
G595435,H28
G595436,H28
G595437,H28
G595438,H28
G595439,H28
G596430,H0+H28
G596431,H28
G596432,H28
G596433,H28
G596434,H28
G596435,H28
G596436,H28
G596437,H28
G596438,H28
G596439,H28
G597430,H0+H28
G597431,H0+H28
G597432,H28
G597433,H28
G597434,H28
G597435,H28
G597436,H28
G597437,H28
G597438,H28
G597439,H28
G598430,H0
G598431,H0+H28
G598432,H28
G598433,H28
G598434,H28
G598435,H28
G598436,H28
G598437,H28
G598438,H28
G598439,H28
G599430,H0
G599431,H0+H28
G599432,H0+H28
G599433,H0+H28
G599434,H0+H28
G599435,H28
G599436,H28
G599437,H28
G599438,H28
G599439,H28
G54X,H28
G54Y,H0+H28
G5846,H0+H28
G580460,H28
G580461,H28
G580462,H28
G580463,H28
G580464,H28
G580465,H28
G580466,H28
G580467,H28
G580468,H28
G580469,H0+H28
G581460,H28
G581461,H28
G581462,H28
G581463,H28
G581464,H28
G581465,H28
G581466,H28
G581467,H28
G581468,H28
G581469,H0+H28
G582460,H28
G582461,H28
G582462,H28
G582463,H28
G582464,H28
G582465,H28
G582466,H28
G582467,H28
G582468,H28
G582469,H28
G583460,H28
G583461,H28
G583462,H28
G583463,H28
G583464,H28
G583465,H28
G583466,H28
G583467,H28
G583468,H28
G583469,H28
G584460,H28
G584461,H28
G584462,H28
G584463,H28
G584464,H28
G584465,H28
G584466,H28
G584467,H28
G584468,H28
G584469,H28
G585460,H28
G585461,H28
G585462,H28
G585463,H28
G585464,H28
G585465,H28
G585466,H28
G585467,H28
G585468,H28
G585469,H0+H28
G586460,H28
G586461,H28
G586462,H28
G586463,H28
G586464,H28
G586465,H28
G586466,H28
G586467,H28
G586468,H28
G586469,H0+H28
G587460,H28
G587461,H28
G587462,H28
G587463,H28
G587464,H28
G587465,H28
G587466,H28
G587467,H28
G587468,H28
G587469,H0+H28
G588460,H28
G588461,H28
G588462,H28
G588463,H28
G588464,H28
G588465,H28
G588466,H28
G588467,H28
G588468,H28
G588469,H0+H28
G589460,H28
G589461,H28
G589462,H28
G589463,H28
G589464,H28
G589465,H28
G589466,H28
G589467,H28
G589468,H28
G589469,H28
G5847,H0+H28
G580470,H0
G580471,H0
G580472,H0
G580473,H0
G580474,H0
G580475,H0
G580476,H0
G580477,H0
G580478,H0
G580479,H0
G581470,H0+H28
G581471,H0
G581472,H0
G581473,H0
G581474,H0
G581475,H0
G581476,H0
G581477,H0
G581478,H0
G581479,H0
G582470,H0+H28
G582471,H0
G582472,H0
G582473,H0
G582474,H0
G582475,H0
G582476,H0
G582477,H0
G582478,H0
G582479,H0
G583470,H0+H28
G583471,H0+H28
G583472,H0
G583473,H0
G583474,H0
G583475,H0
G583476,H0
G583477,H0
G583478,H0
G583479,H0
G584470,H0+H28
G584471,H0+H28
G584472,H0
G584473,H0
G584474,H0
G584475,H0
G584476,H0
G584477,H0
G584478,H0
G584479,H0
G585470,H0+H28
G585471,H0
G585472,H0
G585473,H0
G585474,H0
G585475,H0
G585476,H0
G585477,H0
G585478,H0
G585479,H0
G586470,H0
G586471,H0
G586472,H0
G586473,H0
G586474,H0
G586475,H0
G586476,H0
G586477,H0
G586478,H0
G586479,H0
G587470,H0
G587471,H0
G587472,H0
G587473,H0
G587474,H0
G587475,H0
G587476,H0
G587477,H0
G587478,H0
G587479,H0
G588470,H0+H28
G588471,H0
G588472,H0
G588473,H0
G588474,H0
G588475,H0
G588476,H0
G588477,H0
G588478,H0
G588479,H0
G589470,H0+H28
